ST,CB,PB,GO,CA,RETURN,VOLAT
100,0,0,0,0,5.133871216403719,7.879458747965175
80,20,0,0,0,4.890804114138703,6.342096617202249
80,0,20,0,0,4.15131680887788,5.985463550588169
80,0,0,20,0,8.887923649052127,6.7972419469817815
80,0,0,0,20,2.768783870103988,2.986706713693315
60,40,0,0,0,4.647737011873687,4.90679063980774
60,20,20,0,0,3.908249706612864,4.517877618745241
60,20,0,20,0,8.64485654678711,5.485573274253463
60,20,0,0,20,2.525716767838972,3.014544402991473
60,0,40,0,0,3.1687624013520406,4.17188353716536
60,0,20,20,0,7.905369241526287,5.053266423167684
60,0,20,0,20,1.7862294625781487,3.0364240511508194
60,0,0,40,0,12.641976081700534,6.320209722594211
60,0,0,20,20,6.5228363027523955,2.951071608960771
60,0,0,0,40,0.4036965238042569,3.1644108361826095
40,60,0,0,0,4.404669909608671,3.618397153656531
40,40,20,0,0,3.6651826043478475,3.1828610749742645
40,40,0,20,0,8.401789444522095,4.350683523914565
40,40,0,0,20,2.282649665573956,3.0437165241855713
40,20,40,0,0,2.9256952990870104,2.794629994458535
40,20,20,20,0,7.662302139261272,3.88272727895558
40,20,20,0,20,1.5431623603131328,3.065612138601014
40,20,0,40,0,12.398908979435504,5.3378764257981315
40,20,0,20,20,6.2797692004873795,2.9807035665088457
40,20,0,0,40,0.1606294215392552,3.180031505288148
40,0,60,0,0,2.186207993826173,2.477805965916745
40,0,40,20,0,6.922814834000433,3.439001287754161
40,0,40,0,20,0.8036750550522952,3.0876333276153187
40,0,20,40,0,11.659421674174666,4.883457784373628
40,0,20,20,20,5.540281895226542,3.0025319997247575
40,0,20,0,40,-0.5788578837215823,3.1914010863497504
40,0,0,60,0,16.396028514348927,6.42539508446483
40,0,0,40,20,10.276888735400789,2.918642671708669
40,0,0,20,40,4.15774895645265,3.1476089977328288
40,0,0,0,60,-1.9613908224954741,3.2274218615872785
20,80,0,0,0,4.16160280734364,2.6019581683542388
20,60,20,0,0,3.422115502082832,2.1175115715974444
20,60,0,20,0,8.158722342257079,3.499227096950872
20,60,0,0,20,2.03958256330894,3.0741766462989952
20,40,40,0,0,2.6826281968220087,1.680048244596632
20,40,20,20,0,7.419235036996255,3.0112844337480347
20,40,20,0,20,1.3000952580481169,3.096078351451324
20,40,0,40,0,12.155841877170502,4.621143551576757
20,40,0,20,20,6.036702098222364,3.0116380892232875
20,40,0,0,40,-0.08243768072577495,3.1959696256767685
20,20,60,0,0,1.9431408915611712,1.3396217013852407
20,20,40,20,0,6.679747731735418,2.54560748617023
20,20,40,0,20,0.5606079527872794,3.118103933732874
